"CSV file for plotted parameters
Date: Fri Aug 18 12:55:26 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
0.38333333,-0.00010017,-0.27616505,-0.17192261,-0.05870877,-0.13987248,0.00921183,0.27838349,-0.00097446,-0.00472074,6.35883680,0.05244603,-0.06827063,0.44715342,5.71618768,7.00663259
0.40000000,-0.00028341,-0.30391973,-0.17567394,0.20731240,-0.13263218,0.00396933,0.27858977,0.00758914,-0.00548009,0.01237679,0.51381444,-0.04556287,0.49848750,5.76337355,7.00231189
0.41666667,-0.00053712,-0.33166184,-0.18213915,0.47345685,-0.11851304,-0.00191019,0.27871931,0.01482186,-0.00606906,0.00777216,0.43398036,-0.03534371,0.54183265,4.86644279,6.99861213
0.43333333,-0.00054549,-0.36569824,-0.17979497,0.01072598,-0.13430042,-0.00883736,-0.48455462,-0.01650175,-0.00732391,-45.79643605,-1.87938471,-0.07529855,0.53896571,3.83680859,6.99543142
0.45000000,-0.00056121,-0.40054818,-0.17638539,-0.01430715,-0.14507368,-0.00886721,-0.02621456,-0.01128173,-0.00003090,27.50040483,0.31310849,0.43756518,0.59720410,7.13983832,6.99299320
0.46666667,-0.00058330,-0.43731091,-0.17204812,-0.26843392,-0.15110134,-0.00649815,-0.26612735,-0.00630601,0.00249643,-14.39476732,0.29854288,0.15163998,0.65525171,7.15559800,6.99095482
0.48333333,-0.00066866,-0.47334951,-0.17023593,-0.17389517,-0.15293361,-0.00971202,0.09900968,-0.00193173,-0.00335811,21.90822173,0.26244513,-0.35127026,0.71192911,7.04222789,6.98924518
0.50000000,-0.00085289,-0.50938927,-0.17114582,-0.07951868,-0.14508051,-0.01379484,0.09884195,0.00821427,-0.00429368,-0.01006404,0.60875907,-0.05613399,0.77280519,6.83573749,6.98775422
0.51666667,-0.00112106,-0.54543050,-0.17477736,0.01465029,-0.12901765,-0.01862434,0.09862561,0.01681813,-0.00506695,-0.01298025,0.51623412,-0.04639709,0.82443253,5.79744846,6.98639812
0.53333333,-0.00145583,-0.58147348,-0.18113014,0.10857141,-0.10645060,-0.02405273,0.09836565,0.02363826,-0.00565917,-0.01559774,0.40921257,-0.03553434,0.86537708,4.59841024,6.98515640
0.55000000,-0.00148271,-0.61796660,-0.17695665,-0.04036695,-0.11286011,-0.02442244,-0.15596715,-0.00671179,-0.00039115,-15.25996842,-1.82099677,0.31607947,0.85952675,3.31276182,6.98401641
0.56666667,-0.00150658,-0.65433900,-0.17295038,-0.17998452,-0.11354167,-0.02454191,-0.14620693,-0.00071397,-0.00012374,0.58561314,0.35986493,0.01604498,0.91158312,6.20595942,6.98333134
0.58333333,-0.00161986,-0.69020420,-0.17156054,-0.08217577,-0.10605481,-0.02875852,0.10243355,0.00783010,-0.00443354,14.91842875,0.51264401,-0.25858849,0.96326335,5.79938895,6.98275870
0.60000000,-0.00180389,-0.72607162,-0.17289083,0.01525306,-0.09163652,-0.03359732,0.10203598,0.01509584,-0.00507599,-0.02385423,0.43594673,-0.03854778,1.00685890,4.89549424,6.98218800
0.61666667,-0.00204361,-0.76194122,-0.17694110,0.11228839,-0.07176860,-0.03892902,0.10162312,0.02081184,-0.00556018,-0.02477175,0.34296454,-0.02905224,1.04116402,3.85251723,6.98162378
0.63333333,-0.00207872,-0.80359121,-0.17281607,-0.47558169,-0.05132536,-0.03045117,-0.61562563,0.02143625,0.00881010,-43.03492501,0.03747058,0.86221524,1.06166222,2.74137926,6.98107088
0.65000000,-0.00194051,-0.83964872,-0.17426987,-0.22850262,-0.05029519,-0.02286235,0.25873354,0.00112759,0.00794022,52.46155163,-1.21830741,-0.05221843,1.05689186,2.04632296,6.98078265
0.66666667,-0.00185653,-0.87569866,-0.17843488,0.01812631,-0.04390766,-0.01572008,0.25826307,0.00670274,0.00746708,-0.02822857,0.33450792,-0.02838055,1.09060332,3.79128376,6.98071579
0.68333333,-0.00186309,-0.91178037,-0.17578318,0.07181606,-0.03755097,-0.01550363,0.05622361,0.00665653,0.00023189,-12.12236743,-0.00276365,-0.43410520,1.11381555,3.14013267,6.98062386
0.70000000,-0.00187392,-0.95049378,-0.17073792,-0.19479983,-0.02497391,-0.01206379,-0.27920147,0.01317454,0.00358806,-20.12550504,0.39108143,0.20136986,1.14235247,2.97674181,6.98046643
0.71666667,-0.00191367,-0.98919626,-0.16840284,-0.46175734,-0.00953533,-0.00885529,-0.27955826,0.01618624,0.00326724,-0.02140725,0.18072934,-0.01925276,1.16046198,2.03365096,6.98033007
0.73333333,-0.00175022,-1.02558073,-0.16997583,-0.31590593,-0.01476508,-0.00114397,0.15273352,-0.00542166,0.00811226,25.93750719,-1.29643966,0.29069499,1.14835570,1.28232712,6.98018503
0.75000000,-0.00161755,-1.06145324,-0.17412531,0.06900587,-0.01735488,0.00507684,0.40307687,-0.00269799,0.00652026,15.02060095,0.16341577,-0.09551638,1.17587717,3.34360672,6.98026601
0.76666667,-0.00153168,-1.09730006,-0.18097244,0.45357685,-0.01532319,0.01091593,0.40272005,0.00209968,0.00612434,-0.02140954,0.28783972,-0.02373289,1.20473607,3.24136849,6.98032575
0.78333333,-0.00151492,-1.14053273,-0.17683118,-0.02617842,-0.01141047,0.00929935,-0.50239815,0.00410369,-0.00167760,-54.30709210,0.12024193,-0.46809766,1.22772060,2.81107736,6.98034651
0.80000000,-0.00150320,-1.17674653,-0.17210834,-0.07767688,-0.01191157,0.00951470,-0.05392911,-0.00052455,0.00022600,26.90814271,-0.27765691,0.11419003,1.24184952,2.54586707,6.98030602
0.81666667,-0.00153486,-1.21295982,-0.17010798,-0.12934559,-0.00815365,0.00935645,-0.05410731,0.00393498,-0.00017283,-0.01069222,0.26757161,-0.02392989,1.26857962,3.00089613,6.98026884
0.83333333,-0.00160311,-1.24917211,-0.17083043,-0.18113674,-0.00080411,0.00888580,-0.05423553,0.00769506,-0.00051371,-0.00769314,0.22560550,-0.02045293,1.29113500,2.53255084,6.98019585
0.85000000,-0.00170008,-1.28538293,-0.17427598,-0.23300268,0.00937209,0.00817475,-0.05431394,0.01065373,-0.00078312,-0.00470444,0.17752068,-0.01616426,1.30891794,1.99742371,6.98009331
0.86666667,-0.00182653,-1.31929179,-0.18137546,0.19302246,0.02068794,0.00190392,0.44613076,0.01184766,-0.00657095,30.02668172,0.07163678,-0.34727015,1.32056649,1.42705681,6.97996818
0.88333333,-0.00181817,-1.35597695,-0.17676312,-0.00638752,0.03046442,0.00217424,-0.20882152,0.01023744,0.00029975,-39.29713708,-0.09654883,0.41222870,1.32616807,0.96238244,6.97982266
0.90000000,-0.00180809,-1.39446945,-0.17129853,-0.42843039,0.04195660,0.00348318,-0.44196139,0.01203972,0.00132505,-13.98839210,0.10814934,0.06151454,1.33381628,0.78406120,6.97981812
0.91666667,-0.00179219,-1.43068223,-0.16978250,-0.46485524,0.05294260,0.00402027,-0.03814355,0.01150855,0.00047274,24.22907063,-0.03180302,-0.05115838,1.33506929,0.24784923,6.97981704
0.93333333,-0.00180695,-1.46636779,-0.17078778,-0.22370924,0.06797431,0.00292540,0.25252629,0.01573401,-0.00124111,17.44019005,0.25352820,-0.10283105,1.33868615,-0.07637816,6.97982387
0.95000000,-0.00180721,-1.50203896,-0.17450919,0.01765236,0.08160690,0.00197557,0.25275198,0.01427421,-0.00102032,0.01354149,-0.08756151,0.01324410,1.33015358,-0.95331904,6.97980195
0.96666667,-0.00178789,-1.53769546,-0.18094693,0.25927172,0.09334101,0.00121494,0.25302198,0.01228983,-0.00076683,0.01619930,-0.11903884,0.01520723,1.31849719,-1.30399472,6.97979568
