"CSV file for plotted parameters
Date: Fri Aug 18 13:05:01 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
0.38333333,-0.00010024,-0.27616506,-0.17192261,-0.05870856,-0.13987813,0.00921407,0.27838348,-0.00097125,-0.00472535,6.35883590,0.05248751,-0.06829884,0.44720792,5.71636943,7.00663236
0.40000000,-0.00028357,-0.30391975,-0.17567394,0.20731259,-0.13263422,0.00396660,0.27858977,0.00759293,-0.00548529,0.01237710,0.51384955,-0.04559798,0.49854275,5.76339488,7.00231163
0.41666667,-0.00053741,-0.33166186,-0.18213916,0.47345703,-0.11851063,-0.00191903,0.27871932,0.01482656,-0.00607543,0.00777269,0.43403419,-0.03541407,0.54188766,4.86629068,6.99861182
0.43333333,-0.00054594,-0.36569826,-0.17979497,0.01072610,-0.13429216,-0.00885387,-0.48455468,-0.01649559,-0.00733192,-45.79644009,-1.87929621,-0.07539692,0.53901920,3.83642332,6.99543109
0.45000000,-0.00056178,-0.40054819,-0.17638539,-0.01430700,-0.14506098,-0.00888874,-0.02621451,-0.01127709,-0.00003616,27.50041149,0.31301697,0.43773035,0.59725088,7.13912327,6.99299284
0.46666667,-0.00058395,-0.43731092,-0.17204812,-0.26843373,-0.15108633,-0.00652380,-0.26612730,-0.00630360,0.00249212,-14.39476735,0.29840907,0.15169674,0.65529066,7.15485435,6.99095446
0.48333333,-0.00066939,-0.47334954,-0.17023593,-0.17389535,-0.15291592,-0.00974073,0.09900930,-0.00192894,-0.00336134,21.90819595,0.26246786,-0.35120492,0.71196386,7.04158992,6.98924483
0.50000000,-0.00085370,-0.50938930,-0.17114581,-0.07951922,-0.14506109,-0.01382671,0.09884157,0.00821608,-0.00429699,-0.01006374,0.60870058,-0.05613932,0.77283323,6.83496454,6.98775388
0.51666667,-0.00112195,-0.54543054,-0.17477734,0.01464939,-0.12899669,-0.01866024,0.09862525,0.01681973,-0.00507117,-0.01297974,0.51622143,-0.04645183,0.82445470,5.79668677,6.98639780
0.53333333,-0.00145682,-0.58147352,-0.18113012,0.10857017,-0.10642791,-0.02409406,0.09836530,0.02364009,-0.00566485,-0.01559715,0.40922585,-0.03562183,0.86539347,4.59760091,6.98515612
0.55000000,-0.00148383,-0.61796664,-0.17695662,-0.04036827,-0.11283348,-0.02446863,-0.15596721,-0.00670767,-0.00039624,-15.25995085,-1.82085872,0.31611482,0.85953856,3.31185951,6.98401618
0.56666667,-0.00150776,-0.65433904,-0.17295033,-0.17998674,-0.11351503,-0.02458917,-0.14620788,-0.00071396,-0.00012486,0.58556012,0.35961815,0.01628353,0.91158159,6.20471469,6.98333119
0.58333333,-0.00162106,-0.69020424,-0.17156046,-0.08217902,-0.10602957,-0.02880562,0.10243247,0.00782864,-0.00443337,14.91842073,0.51255577,-0.25851116,0.96325384,5.79848523,6.98275867
0.60000000,-0.00180511,-0.72607166,-0.17289073,0.01524878,-0.09161374,-0.03364416,0.10203490,0.01509326,-0.00507572,-0.02385437,0.43587933,-0.03854206,1.00684272,4.89474714,6.98218810
0.61666667,-0.00204485,-0.76194127,-0.17694097,0.11228308,-0.07174859,-0.03897612,0.10162203,0.02080894,-0.00556045,-0.02477183,0.34294549,-0.02908466,1.04114322,3.85193578,6.98162401
0.63333333,-0.00207987,-0.80359131,-0.17281583,-0.47559351,-0.05131715,-0.03049665,-0.61563244,0.02142390,0.00881183,-43.03526892,0.03690346,0.86233531,1.06162787,2.74090758,6.98107125
