"CSV file for plotted parameters
Date: Sat Aug 19 14:55:23 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.gyro [H] box.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.gyro [H] box.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.box [H] body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.box [H] body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Position ( rad )","Motorcycle.Assembly.box [H] body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )"
0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.01666667,-0.01150257,-0.00155132,-0.00005487,0.11153921,0.52610435,-0.54419519,0.11418550,0.55148557,-0.56933942,6.85112971,33.08913407,-34.16036545,251.31602657,1500.68514351,-0.26176799,-0.00436305,0.00000000
0.03333333,-0.01296874,-0.00441033,0.00014757,0.23350984,0.47595186,-0.74392778,0.12589822,-0.05188950,-0.20930873,0.70237678,-36.20049358,21.60189173,251.27584524,2.21300857,-1.34539163,-0.02678634,0.00000000
0.05000000,-0.01282927,-0.00858639,0.00035748,0.19255769,0.09191100,-1.01639065,-0.04429868,-0.40110226,-0.28681282,-10.21185822,-20.95277381,-4.65028699,251.29923172,4.55108057,-0.77404700,-0.03968739,0.00000000
0.06666667,-0.01021422,-0.01409339,0.00080520,-0.02376558,-0.57378260,-1.28011818,-0.22536889,-0.69670433,-0.27720064,-10.86418005,-17.73672897,0.57701279,251.30988047,2.04620152,0.39329930,-0.03313199,0.00000000
0.08333333,-0.01034889,-0.01981653,0.00136799,0.08152201,-0.74734892,-1.27839278,0.11023599,-0.18175914,0.00171511,20.13688123,30.89424844,16.73594301,251.23791864,1.87975404,1.47827987,-0.00849393,0.00000000
0.10000000,-0.01084964,-0.02680990,0.00208054,0.18262351,-0.62683414,-1.16579593,0.10445920,0.12593065,0.11819330,-0.34662834,18.46130548,6.98871013,251.24021282,9.21137730,1.47285972,0.01605381,0.00000000
0.11666667,-0.01165532,-0.03499638,0.00277172,0.13568049,-0.17997557,-0.90086651,-0.05111160,0.46717596,0.27872603,-9.33426688,20.47478170,9.63196106,251.29201743,9.50730556,0.94586385,0.03181863,0.00000000
0.13333333,-0.01605745,-0.04313409,0.00075654,0.09305514,0.63715007,-0.66733779,-0.04366068,0.85520095,0.24625839,0.44719150,23.28228856,-1.94843585,251.29886028,2.24675964,-0.19523669,0.02856435,0.00000000
0.15000000,-0.01615407,-0.05303195,0.00152001,0.13134705,0.83943275,-0.66323474,0.04015452,0.21182112,0.00471116,5.02918358,-38.60076531,-14.49424606,251.18937435,-1.15745673,-2.01153640,-0.00496141,0.00000000
0.16666667,-0.01445715,-0.06416920,0.00210889,0.01549811,0.55066261,-0.80255752,-0.12308625,-0.30221209,-0.14627531,-9.79445525,-30.84197439,-9.05920010,251.19024719,11.71068591,-1.83974882,-0.03562421,0.00000000
0.18333333,-0.01100590,-0.07640450,0.00307782,0.06337667,0.10817590,-0.71265182,0.05067935,-0.46343561,0.09382874,10.42601160,-9.67369577,14.40633104,251.29605057,15.44738631,-0.88284392,-0.05033856,0.00000000
0.20000000,-0.00950194,-0.08981171,0.00445611,-0.06358664,-0.37814568,-0.76760434,-0.13281928,-0.50927494,-0.05754523,-11.00997939,-2.75040691,-9.08240695,251.31487148,1.87839384,0.45388455,-0.04277356,0.00000000
0.21666667,-0.01033630,-0.10307191,0.00376886,0.04637127,-0.60506672,-0.79408501,0.11538543,-0.23763536,-0.02769379,14.89244922,16.29791861,1.79131957,251.27096563,0.54071843,1.13382449,-0.02387637,0.00000000
0.23333333,-0.01684144,-0.11624149,0.00031370,0.16499883,-0.26202316,-0.88101818,0.12491494,0.35940168,-0.09037097,0.57173248,35.82209423,-3.76059838,251.24703487,4.38694359,1.35538703,-0.00128629,0.00000000
0.25000000,-0.01714787,-0.13268887,0.00091083,-0.10524151,0.00476064,-0.62334894,-0.28359982,0.27923437,0.26997606,-24.51096590,-4.80985703,21.62077457,251.32000950,10.65687447,0.65630339,0.00965222,0.00000000
